# 
# Header Description:
# 
# Version: v3.1.1.2 Platform: 14 Manufacturer: samsung Model: SM-M055F GNSS Hardware Model Name: MediaTek,MT6631,MTK_MNLD_default,MNL_VER_default
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2,CalibrationAccuracy
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2,CalibrationAccuracy
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec,CalibrationAccuracy
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec,CalibrationAccuracy
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT,CalibrationAccuracy
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT,CalibrationAccuracy
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa,CalibrationAccuracy
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg,CalibrationAccuracy
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
# GameRotationVector,utcTimeMillis,elapsedRealtimeNanos,x,y,z,w
# 
Accel,1769597297378,61424126897392,-0.064950004,1.3300501,8.913,3
Accel,1769597297383,61424131670317,-0.10305001,1.35,8.932051,3
Accel,1769597297388,61424136443352,-0.123,1.3110001,8.913,3
Accel,1769597297393,61424141216389,-0.18,1.2919501,8.932051,3
Accel,1769597297397,61424145990697,-0.77400005,1.2349501,8.913,3
Accel,1769597297402,61424150765006,-0.79305005,1.21605,8.932051,3
Accel,1769597297407,61424155541443,-0.77400005,1.1580001,8.89395,3
Accel,1769597297412,61424160317904,-0.79305005,1.1200501,8.875051,3
Accel,1769597297417,61424165092095,-0.81195,1.04295,8.797951,3
Accel,1769597297421,61424169866288,-0.83100003,1.02405,8.76,3
Accel,1769597297426,61424174641650,-0.83100003,0.9670501,8.166,3
Accel,1769597297431,61424179417035,-0.87000006,0.94695,8.18505,3
Accel,1769597297436,61424184191341,-0.87000006,0.90900004,8.166,3
Accel,1769597297440,61424188965650,-0.88905007,0.90900004,8.18505,3
Accel,1769597297445,61424193739174,-0.88905007,0.87105006,8.166,3
Accel,1769597297450,61424198512713,-0.90795004,0.87105006,8.18505,3
Accel,1769597297455,61424203288098,-0.88905007,0.83205,8.166,3
Accel,1769597297460,61424208063481,-0.88905007,0.83205,8.18505,3
Accel,1769597297464,61424212838039,-0.87000006,0.79395,8.18505,3
Accel,1769597297469,61424217612616,-0.85005003,0.813,8.2240505,3
Accel,1769597297474,61424222386616,-0.79305005,0.79395,8.2240505,3
Accel,1769597297479,61424227160617,-0.75495005,0.813,8.281051,3
Accel,1769597297483,61424231934659,-0.16095,0.79395,8.319,3
Accel,1769597297488,61424236708698,-0.16095,0.813,8.89395,3
Accel,1769597297493,61424241483774,-0.123,0.79395,8.89395,3
Accel,1769597297498,61424246258851,-0.08400001,0.813,8.932051,3
Accel,1769597297503,61424251031619,-0.00795,0.813,8.932051,3
Accel,1769597297507,61424255804390,0.68100005,0.85200006,8.98995,3
Accel,1769597297512,61424260579583,0.70005006,0.85200006,9.5449505,3
Accel,1769597297517,61424265354774,0.70005006,0.88995004,9.564,3
Accel,1769597297522,61424270129370,0.75795,0.88995004,9.564,3
Accel,1769597297526,61424274903987,0.777,0.92805004,9.603001,3
Accel,1769597297531,61424279678429,0.79605,0.92805004,9.603001,3
Accel,1769597297536,61424284452890,0.777,0.94695,9.660001,3
Accel,1769597297541,61424289228122,0.79605,0.92805004,9.67905,3
Accel,1769597297546,61424294003351,0.777,0.94695,9.71805,3
Accel,1769597297550,61424298778874,0.75795,0.92805004,9.71805,3
Accel,1769597297555,61424303554413,0.71895003,0.94695,9.736951,3
Accel,1769597297560,61424308328604,0.71895003,0.92805004,9.71805,3
Accel,1769597297565,61424313102799,0.66195005,0.94695,9.71805,3
Accel,1769597297569,61424317876462,0.66195005,0.92805004,9.67905,3
Accel,1769597297574,61424322650155,0.62295,0.94695,9.67905,3
Accel,1769597297579,61424327424617,0.62295,0.94695,9.62205,3
Accel,1769597297584,61424332199078,0.60405004,0.98595005,9.603001,3
Accel,1769597297588,61424336972283,0.62295,0.98595005,9.5449505,3
Accel,1769597297593,61424341745514,0.60405004,1.04295,9.526051,3
Accel,1769597297598,61424346520747,0.62295,1.062,9.46905,3
Accel,1769597297603,61424351295976,0.62295,1.1389501,9.450001,3
Accel,1769597297608,61424356069460,0.64305,1.1580001,9.391951,3
Accel,1769597297612,61424360842961,0.64305,1.2349501,9.373051,3
Accel,1769597297617,61424365618232,0.66195005,1.2730501,9.315001,3
Accel,1769597297622,61424370393499,0.64305,1.848,9.295951,3
Accel,1769597297627,61424375169479,0.64305,1.8280501,9.238951,3
Accel,1769597297631,61424379945442,0.60405004,1.848,9.220051,3
Accel,1769597297636,61424384720402,0.56595004,1.8280501,9.162001,3
Accel,1769597297641,61424389495365,0.50895,1.848,9.162001,3
